draw,roc_auc__isds_v1,average_precision__isds_v1,roc_auc__isds_energy_component,average_precision__isds_energy_component,roc_auc__isds_context_component,average_precision__isds_context_component,auc_diff_isds_minus_energy,auc_diff_isds_minus_context
139,0.9617117117117117,0.7943465711848066,0.8896396396396397,0.672017175231122,0.9009009009009009,0.8093860044947001,0.072072072072072,0.060810810810810745
140,0.9002770083102493,0.6790026871992816,0.8060941828254847,0.6058393662934191,0.8981994459833795,0.7930693572104737,0.09418282548476453,0.0020775623268697307
141,0.8975069252077562,0.6761206958962378,0.7576177285318559,0.5416957696914544,0.8552631578947368,0.6998856523449103,0.13988919667590027,0.042243767313019376
142,0.9368421052631579,0.8372002853191439,0.8673684210526316,0.7826127907723149,0.9021052631578947,0.9362070267887443,0.06947368421052635,0.03473684210526318
143,0.9526748971193416,0.8452945973779307,0.8395061728395061,0.7465096722449663,0.8703703703703703,0.7394867925781905,0.11316872427983549,0.08230452674897126
144,0.8935483870967742,0.5815367965367966,0.7967741935483871,0.4373244351108128,0.9274193548387096,0.8336435786435785,0.09677419354838712,-0.03387096774193543
145,0.987012987012987,0.9815476190476191,0.9512987012987013,0.9550119192976336,0.9188311688311688,0.9291014541014542,0.0357142857142857,0.06818181818181823
146,0.9944444444444445,0.9880952380952381,0.9083333333333333,0.8782016594516594,0.9333333333333333,0.9093267356425251,0.08611111111111114,0.061111111111111116
147,0.9470588235294117,0.8259072146615399,0.8372549019607843,0.7281763560793469,0.8862745098039215,0.7368417414294993,0.1098039215686274,0.0607843137254902
148,0.956140350877193,0.8486145241339147,0.8912280701754386,0.7860830047688447,0.9526315789473684,0.8998661680867969,0.06491228070175437,0.0035087719298245723
149,0.9586466165413534,0.8562383308126341,0.8834586466165414,0.7776108434204225,0.9332706766917294,0.9242861568285932,0.07518796992481203,0.025375939849624052
150,0.9603174603174603,0.8530657955258059,0.871031746031746,0.7694482742728357,0.9494047619047619,0.8701731755898421,0.0892857142857143,0.010912698412698485
151,0.8918918918918919,0.6273643023643023,0.781981981981982,0.5149889538661468,0.9216216216216216,0.8129811854811855,0.1099099099099099,-0.02972972972972976
152,0.9458128078817734,0.9061271438399922,0.9285714285714286,0.886960361067504,0.8522167487684729,0.5622655210409523,0.01724137931034475,0.09359605911330049
153,0.9356060606060606,0.6873397435897436,0.8901515151515151,0.587900641025641,0.8863636363636364,0.6622023809523809,0.045454545454545414,0.0492424242424242
154,0.9395604395604396,0.8001333109001176,0.9065934065934066,0.7440950739270067,0.8901098901098901,0.8403268487895817,0.03296703296703296,0.0494505494505495
155,0.9540229885057471,0.8404173102057518,0.842911877394636,0.7306735160837328,0.9367816091954023,0.9268870662348923,0.11111111111111105,0.01724137931034475
156,0.8928571428571429,0.6183953393650431,0.748015873015873,0.48972642453743803,0.878968253968254,0.6260510264711945,0.14484126984126988,0.01388888888888895
157,0.9526881720430107,0.8148863282686812,0.886021505376344,0.7252883571536822,0.9,0.7460563991678543,0.06666666666666665,0.052688172043010684
158,0.8802521008403361,0.6110645122973739,0.8130252100840336,0.5243428672776499,0.884453781512605,0.6316419719563735,0.0672268907563025,-0.004201680672268893
159,0.9551020408163265,0.705194805194805,0.8816326530612245,0.5906771799628941,0.9387755102040817,0.7626373626373627,0.07346938775510203,0.01632653061224487
160,0.9557142857142857,0.8451996921637015,0.8542857142857143,0.7532745530067906,0.8671428571428571,0.744807759994119,0.10142857142857142,0.08857142857142863
161,0.9314814814814815,0.8098501696434348,0.8277777777777777,0.7107736900564557,0.8166666666666667,0.696945161554695,0.10370370370370374,0.11481481481481481
162,0.9893333333333333,0.9838235294117648,0.952,0.9505938697318008,0.9306666666666666,0.7912142394878967,0.03733333333333333,0.058666666666666645
163,0.9175627240143369,0.7435195370073326,0.8243727598566308,0.6655574480326578,0.9336917562724014,0.8255651156644449,0.09318996415770608,-0.016129032258064502
164,0.9333333333333333,0.6459371184371184,0.7769230769230769,0.4461430726136609,0.8384615384615385,0.5798717948717949,0.1564102564102564,0.09487179487179487
165,0.9930555555555556,0.9907216297825173,0.9606481481481481,0.9658678286129267,0.96875,0.9765515892966873,0.03240740740740744,0.02430555555555558
166,0.9827586206896551,0.9743421052631579,0.9375,0.9255580028209338,0.8706896551724138,0.8241744366744368,0.04525862068965514,0.11206896551724133
167,0.95,0.8352186021561666,0.8759259259259259,0.7565746764211677,0.9018518518518519,0.9128459503459503,0.07407407407407407,0.04814814814814805
168,0.9020979020979021,0.703006475407494,0.7319347319347319,0.5689201538291434,0.8543123543123543,0.6172044231914029,0.17016317016317017,0.04778554778554778
169,0.96875,0.9632853629864501,0.8898809523809523,0.9088263278535217,0.9107142857142857,0.9252675276112775,0.07886904761904767,0.0580357142857143
170,0.9935064935064936,0.9873949579831933,0.9264069264069265,0.912291813277035,0.8722943722943723,0.7766596214851604,0.0670995670995671,0.12121212121212122
171,0.9322916666666666,0.6991443741443742,0.9010416666666666,0.6440874212933037,0.9518229166666666,0.7434084434084434,0.03125,-0.01953125
172,0.9424242424242424,0.7391666666666666,0.9,0.6432509157509158,0.9,0.6235045948203843,0.042424242424242364,0.042424242424242364
173,0.9602122015915119,0.88320318332644,0.8222811671087533,0.7839589403706761,0.9244031830238727,0.9345663621714547,0.13793103448275856,0.035809018567639184
174,0.8411764705882353,0.34606060606060607,0.7235294117647059,0.23945970695970695,0.8176470588235294,0.3448809523809524,0.11764705882352944,0.02352941176470591
175,0.9071428571428571,0.6972557333970377,0.8160714285714286,0.6141760125409506,0.8464285714285714,0.6953728563103563,0.09107142857142858,0.06071428571428572
176,0.984472049689441,0.9721956614813758,0.9347826086956522,0.8905890852844635,0.9161490683229814,0.9261948577738052,0.0496894409937888,0.06832298136645965
177,0.9141414141414141,0.6339178795061148,0.8636363636363636,0.5490489308671127,0.8964646464646465,0.7715055545199085,0.0505050505050505,0.017676767676767624
